1,1,1
1,2,2
1,3,3
1,4,4
1,5,5
1,6,6
1,7,7
1,8,8
1,9,9
1,10,10
1,11,11
1,12,12
1,13,13
1,14,14
1,15,15
1,16,16
1,17,17
1,18,18
1,19,19
1,17,20
1,16,21
1,15,22
1,14,23
1,13,24
1,12,25
1,11,26
1,10,27
1,9,28
1,8,29
1,7,30
1,6,31
1,5,32
1,4,33
1,3,34
1,2,35
2,1,1
2,2,2
2,3,3
2,4,4
2,5,5
2,10,6
2,13,7
2,12,8
2,11,9
2,5,10
2,4,11
2,3,12
2,2,13
3,1,1
3,2,2
3,3,3
3,40,4
3,20,5
3,39,6
3,38,7
3,37,8
3,21,9
3,22,10
3,8,11
3,7,12
3,9,13
3,10,14
3,11,15
3,12,16
3,13,17
3,15,18
3,35,19
3,11,20
3,10,21
3,9,22
3,7,23
3,8,24
3,22,25
3,21,26
3,37,27
3,38,28
3,39,29
3,20,30
3,40,31
4,1,1
4,2,2
4,33,3
4,4,4
4,6,5
4,4,6
4,2,7
5,20,1
5,21,2
5,30,3
5,6,4
5,11,5
5,17,6
5,34,7
5,35,8
5,16,9
5,11,10
5,6,11
5,30,12
5,36,13
